frames,return
0,24.60141158521001
10000,41.99613801590748
20000,68.433986254537
30000,109.62260854487542
40000,111.36164970568788
50000,145.3096084835721
60000,214.047357562001
70000,246.57322874142557
80000,330.90951004261575
90000,797.4683829673513
100000,1493.212143548394
110000,1573.1101439458657
120000,2071.2024550505075
130000,2188.646103939275
140000,2016.5197694400124
150000,2244.6143797740083
160000,2184.8924817459992
170000,2245.0286308806276
180000,2321.232293289929
190000,2308.8214385724873
200000,2358.3680892931197
210000,2302.1517789475784
220000,2393.785182974277
230000,2386.9895882564088
240000,2376.8642711978528
250000,2410.3052547028137
260000,2452.2511121904236
270000,2441.2284519147297
280000,2546.990401230887
290000,2582.7689311510535
300000,2563.3752520580615
310000,2589.937770989638
320000,2551.8197433960136
330000,2369.900678942106
340000,2375.5776086717697
350000,2464.0748571993913
360000,2486.651539177992
370000,2556.8442365354763
380000,2598.030187044071
390000,2631.7939828217077
400000,2639.62009237945
410000,2596.9554743255035
420000,2642.8861474775354
430000,2686.739184682215
440000,2644.0040331851073
450000,2656.810820568431
460000,2689.5259998968177
470000,2678.3454890233547
480000,2739.1486296567955
490000,2704.569626988187
500000,2668.735350503194
510000,2710.3538577940158
520000,2669.5957053883117
530000,2695.4444166839908
540000,2719.2369237738208
550000,2740.0614753543964
560000,2678.461908575282
570000,2656.3547725528215
580000,2640.0020156067562
590000,2683.227297142546
600000,2668.448683307438
610000,2638.1649760789214
620000,2687.7851289188743
630000,2671.619748653692
640000,2686.0164326331706
650000,2707.970107392628
660000,2692.263346654227
670000,2677.1419892568056
680000,2623.8565807622695
690000,2677.075961533676
700000,2728.687554768762
710000,2718.654119414489
720000,2710.7050209082736
730000,2758.6033128824083
740000,2796.826840550958
750000,2767.3238754150307
760000,2705.9900890908666
770000,2784.478436627937
780000,2772.6324278148822
790000,2680.4522059777105
800000,2690.030856580836
810000,2667.246451543342
820000,2718.573598168562
830000,2712.643105257723
840000,2744.697605725326
850000,2769.045075370454
860000,2670.1643310312656
870000,2700.254016634987
880000,2680.530672966373
890000,2665.531203002529
900000,2635.3848042308787
910000,2624.539868575721
920000,2673.226754236191
930000,2682.599965691048
940000,2702.5389921600395
950000,2682.6393836002558
960000,2647.1398005144015
970000,2650.2223153830323
980000,2607.7375076988733
990000,2647.1449209171724
1000000,2665.9555025412424
