frames,return
0,558.6738136229012
10000,73.85475503406198
20000,529.7254964791789
30000,548.3287551784417
40000,688.9122979124628
50000,689.3231522427101
60000,627.7957948651857
70000,740.5476696444697
80000,733.4825831470991
90000,760.7094780857124
100000,558.5181229651686
110000,824.3739325322891
120000,870.5802756252324
130000,974.9692348586864
140000,740.165348765911
150000,822.1049113006914
160000,842.1589440415601
170000,836.6462537319336
180000,1060.9466566663875
190000,1208.3754409446115
200000,689.8500162431742
210000,1139.3155813477085
220000,977.9662788388137
230000,1224.9976767271319
240000,1099.6194291950587
250000,1208.248494608974
260000,1392.0702338062342
270000,1385.5921875167885
280000,1447.3236263989172
290000,1429.7576529663725
300000,1317.9401823214669
310000,1549.6891523136424
320000,1618.763853729636
330000,1558.38788990093
340000,1681.9506268357713
350000,1712.1628878857844
360000,1714.7822445223476
370000,1811.0990364882123
380000,1684.6600450563876
390000,1853.3482667932863
400000,1895.9438868867157
410000,1921.957041944714
420000,1972.040375846054
430000,1947.2140269700105
440000,2012.85140839742
450000,1989.9321264168436
460000,2065.2695524333867
470000,2082.3971539595796
480000,2084.215769236912
490000,2100.6343331948215
500000,2121.2567429606274
510000,2091.175316968736
520000,2137.6635621638006
530000,2193.6840627292154
540000,2214.431545647513
550000,2213.7276453311797
560000,2274.384673901955
570000,2327.3481238112668
580000,2355.9792946187536
590000,2306.0948714632127
600000,2360.6503825979626
610000,2379.888605421687
620000,2363.630849721882
630000,2316.193542898654
640000,2353.2337323409306
650000,2368.278824654413
660000,2359.9487837663214
670000,2387.080699866973
680000,2451.240719165108
690000,2384.94018475145
700000,2426.995264185009
710000,2480.3266026395145
720000,2464.0403641359326
730000,2467.9778675058906
740000,2477.7110951856357
750000,2522.653326568844
760000,2455.1692982074014
770000,2496.2048521524957
780000,2509.9375830813733
790000,2588.1889430234964
800000,2620.8537828479925
810000,2653.953229680513
820000,2660.787370015866
830000,2674.9340488368616
840000,2690.2171205359627
850000,2677.767370226959
860000,2661.061248117111
870000,2689.933368158636
880000,2691.9041240032807
890000,2747.565113490732
900000,2743.732585708127
910000,2774.4865545892944
920000,2782.0615456668675
930000,2790.3423810857093
940000,2741.9781232547653
950000,2834.2851295088653
960000,2876.076629215679
970000,2871.94584915989
980000,2782.9393393583773
990000,2849.9674260189045
1000000,2908.0593612922403
