frames,return
0,6.986694664505193
10000,433.5470118720488
20000,570.0203534609361
30000,510.17154058314867
40000,520.5446553172613
50000,623.4422963449132
60000,885.5196893627772
70000,729.2235209479958
80000,768.4528728368483
90000,875.2586936649346
100000,692.0026913508123
110000,702.2006219537199
120000,821.756223355798
130000,799.7054351068003
140000,845.8744368209029
150000,804.6657534294185
160000,928.9903745840865
170000,840.6001831017891
180000,922.5321591649152
190000,948.4153316111118
200000,880.784644737374
210000,902.0734137354165
220000,961.292505102021
230000,951.5616388269294
240000,1023.0177640634299
250000,885.4124089117261
260000,1129.2637899814563
270000,1263.6596088776844
280000,970.2507568002666
290000,1346.2195299570633
300000,1503.6295619292407
310000,1606.5821237840573
320000,1613.9554249093815
330000,1666.4062181702955
340000,1645.4084264979856
350000,1679.703453731475
360000,1778.5010318255786
370000,1800.4512196312542
380000,1803.1981505146703
390000,1809.7512612925605
400000,1864.0130630870058
410000,1859.8646068907751
420000,1916.1171373328596
430000,1949.1875777302664
440000,1971.8929697928875
450000,1996.656480407993
460000,2033.618427672411
470000,2009.5559913831082
480000,2077.4659673629435
490000,2128.1998067965096
500000,2204.3447809739373
510000,2209.999703820842
520000,2241.2408436351734
530000,2238.3160017306996
540000,2244.1788345334394
550000,2292.2038241569876
560000,2301.4570036844025
570000,2370.9434368216916
580000,2368.7041718560868
590000,2433.3383137426736
600000,2388.4031002375773
610000,2459.681327381345
620000,2402.4089177695832
630000,2417.2711534931977
640000,2444.323569277073
650000,2445.816915615886
660000,2434.637304912879
670000,2505.6117937982976
680000,2406.427071665506
690000,2478.484279736313
700000,2495.9639198800733
710000,2530.337841056941
720000,2594.2445802561274
730000,2583.7580745328796
740000,2616.0141657490603
750000,2569.652760184572
760000,2572.194869770193
770000,2361.5012119565226
780000,2613.115509552577
790000,2620.8996920968875
800000,2701.699414917319
810000,2762.126226039673
820000,2729.784601867144
830000,2795.3716110522046
840000,2768.8484834476653
850000,2844.962258239021
860000,2766.8682965314765
870000,2916.9035469421306
880000,2901.2997506283264
890000,2923.0364845766676
900000,2858.2247097408404
910000,2871.263144425508
920000,2940.485628818042
930000,2958.046036090271
940000,2983.46752367659
950000,2990.058324915133
960000,2951.713812833419
970000,3004.3446253609823
980000,3006.3306647691734
990000,3012.6897086706986
1000000,3007.6714872106954
